feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Ccl5	0	1.0443246960772696	-1.7959422457716308	139859853.5	0.317385296627143	0	0	21.02439518169855	56.80850109850692
S100a6	0	0.41518481680348984	-1.4209596801677193	108432219.5	0.2460662676866523	0	0	15.41654013564126	65.49567322781688
Igfbp4	0	1.280145986527839	1.2231819774717891	336169238	0.7628720511962399	0	0	55.09666970341127	3.102721606958705
AW112010	0	1.3592036871312008	-1.2114637220388227	105012639.5	0.23830618224769362	0	0	65.50258123291832	87.61377393175806
S100a11	0	0.7859806637838741	-1.1860387140140318	103189077	0.23416795451116423	0	0	43.60765259641664	78.83020221494867
Nkg7	0	0.6478143682274567	-1.1140443695508186	146584998.5	0.3326467321804524	0	0	19.850187265917604	52.38308747702103
Lef1	0	1.2663874906391233	0.9538183013630399	333070681.5	0.7558404674410885	0	0	66.47433950804738	19.33372192081783
Tigit	0	0.21704250962020327	-0.9021747423663022	129972085	0.2949468894658412	0	0	9.737827715355806	50.86311258575079
Satb1	0	1.0827878941848406	0.8711157651621922	329849014	0.7485295067219603	0	0	61.473833383945745	13.473523741200735
S100a4	0	0.21262357243381858	-0.8695736933195375	142903659.5	0.32429263455157087	0	0	8.654722137868205	43.72281755817603
Ccl5	1	5.695615917334317	3.8727192003955233	385320804	0.8847044345310855	0	0	96.71187833949855	40.2319397582285
Nkg7	1	3.5450183859484174	2.416845747935172	375297829	0.8616914792542294	0	0	96.44471845458283	35.619958438540436
Gzmk	1	2.407778782191159	1.8710652004544939	372661299	0.8556379525342597	0	0	89.25195232223592	21.56503474627399
Ccl4	1	1.8622240787132418	1.5809687369049752	332063227	0.7624239501784141	0	0	61.96054254007398	10.624986034455791
Nr4a2	1	1.7259373794532626	1.2244367724293768	329005149.5	0.7554025417901202	0	0	69.61570078092889	25.714477241749158
AW112010	1	3.3308344190603663	1.1928976748798261	341048673	0.7830547176841302	0	0	97.17427044800657	80.65381091770384
Eomes	1	1.3006812514984496	1.0513744004787986	330346113.5	0.7584814225176362	0	0	63.73818331278257	12.97790092284316
Ifng	1	1.376407885420781	0.990602161719897	312015485.5	0.7163939263041182	0	0	59.87464036169339	18.537304761691953
Ctla2a	1	1.262790922836339	0.937973574610175	303564523	0.6969903438289662	0	0	53.082614056720104	15.645878488592944
Ccl3	1	1.0355286819778597	0.8991834154750831	294141957	0.67535593987692355	0	0	40.7521578298397	6.153777400397739
Foxp3	10	1.1537733725559993	0.9512942294559538	75270955.5	0.7250956223969571	0	0	54.3247344461305	11.299230593433382
Ikzf2	10	1.4644622824825049	0.947116286140253	73278030.5	0.7058974976532708	0	0	62.417804754678805	27.513902643406716
Nkg7	10	0.10273135325469679	-1.5119964808976656	28537711.5	0.27490775883504365	1.8422981873181742e-299	1.4869649244391813e-295	4.24886191198786	48.0745791117544
Izumo1r	10	1.4517201868194174	0.8483447119889441	70715526	0.6812125340709698	2.9293530340952023e-240	1.8914832541152721e-236	60.59686393525544	30.89814885350804
Gzmk	10	0.015386091389907574	-0.8877453881763964	34114089.5	0.3286257865891977	2.9204987950625433e-208	1.346975765694203e-204	0.7081436519979768	34.89563495086463
Ccl5	10	0.7228808105217528	-1.8592151656772624	33119636	0.3190460771948174	1.4329951126917155e-187	4.6264247213252036e-184	22.964087000505817	51.35027043498134
Ms4a4b	10	0.9901134170491619	-0.9004305176189404	32420577.5	0.3123119490735212	1.7059249515505028e-181	4.589648921733998e-178	43.0450177035913	72.1585282242706
Mif	11	2.6819971870293635	1.4195497009282947	72282121	0.8599716979102777	0	0	97.92322215229704	63.90275257108288
Eif5a	11	2.4554858839390907	1.3129805381223802	71883059.5	0.8552238904168366	0	0	96.72750157331656	60.410995160314584
Nme1	11	1.7854818578475806	1.0938694663567252	68414122	0.8139524386311365	0	0	89.61611076148522	42.56843617664852
Ppp1r14b	11	1.4818452128371267	1.0060781739972622	66034771.5	0.7856442752692913	0	0	80.49087476400251	29.835904416212944
Ran	11	1.8343645739691012	0.9746326309536081	65325673.5	0.7772078292628883	0	0	89.23851478917558	49.75045372050816
Npm1	11	2.752498126403718	0.9611122568079942	66235170.5	0.7880285089622887	0	0	97.73442416614223	79.10238959467635
